,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Bang Saphan,100,TH,1573067585,93,11.21,99.51,75.22,5.95
375,Rognedino,100,RU,1573067586,88,53.8,33.56,50.29,11.81
376,Guanica,1,PR,1573067587,70,17.97,-66.91,88.0,16.11
377,Sur,4,OM,1573067588,58,22.57,59.53,79.68,9.86
378,Chancay,75,PE,1573067590,72,-11.56,-77.27,68.0,8.05
379,Tondano,20,ID,1573067591,88,1.3,124.91,73.4,2.24
380,Paramonga,25,PE,1573067592,89,-10.68,-77.82,62.06,13.31
381,Cocentaina,16,ES,1573067593,41,38.74,-0.44,64.99,5.82
382,Lebu,40,ET,1573067595,51,8.96,38.73,59.0,9.17
383,Angoche,0,MZ,1573067596,85,-16.23,39.91,76.3,3.87
384,Tarakan,75,ID,1573067597,94,3.3,117.63,78.8,3.36
385,High Rock,75,BS,1573067598,74,26.63,-78.28,84.2,18.34
386,Pisco,0,PE,1573067600,30,-13.71,-76.2,71.6,9.17
387,Annau,7,TM,1573067601,52,37.89,58.52,42.8,6.93
388,Kosonsoy,0,UZ,1573067602,64,41.25,71.55,39.2,6.93
389,Tezu,0,IN,1573067603,65,27.93,96.16,64.76,2.84
390,Moose Factory,90,CA,1573067604,67,51.26,-80.61,23.0,16.11
391,Colquechaca,99,BO,1573067606,57,-18.7,-66.0,59.11,7.23
392,Lawrenceburg,1,US,1573067538,33,35.24,-87.33,72.0,4.7
393,Peniche,75,PT,1573067608,87,39.36,-9.38,61.0,6.93
394,Itarema,0,BR,1573067609,48,-2.92,-39.92,88.45,15.35
395,Liwale,95,TZ,1573067611,85,-9.8,37.92,73.13,4.36
396,Bhadrapur,0,NP,1573067612,68,26.55,88.09,68.5,2.91
397,Ust-Ilimsk,100,RU,1573067613,89,57.96,102.73,26.49,11.61
398,Courtenay,80,FR,1573067614,93,48.04,3.06,48.99,6.93
399,Cristalina,41,BR,1573067615,54,-16.77,-47.61,82.51,8.52
400,Port Blair,94,IN,1573067362,79,11.67,92.75,82.47,22.08
401,Kletskaya,19,RU,1573067618,90,49.31,43.06,55.0,5.99
402,Sistranda,40,NO,1573067619,68,63.73,8.83,30.0,6.93
403,Point Pedro,83,LK,1573067412,76,9.82,80.23,81.63,8.48
404,Tchollire,19,CM,1573067622,42,8.4,14.17,81.7,2.59
405,Xichang,94,CN,1573067624,94,27.88,102.25,42.35,3.44
406,Kharhial,82,IN,1573067625,71,20.28,82.77,69.73,1.39
407,Muisne,90,EC,1573067335,83,0.61,-80.02,78.8,9.17
408,Strezhevoy,90,RU,1573067629,95,60.73,77.6,32.0,8.95
409,Am Timan,0,TD,1573067630,29,11.04,20.28,80.4,0.45
410,Prince Rupert,90,CA,1573067631,93,54.32,-130.32,46.4,2.24
411,Makarska,40,HR,1573067633,72,43.3,17.02,64.4,4.7
412,Namatanai,100,PG,1573067635,79,-3.66,152.44,82.17,13.67
413,Savinka,33,RU,1573067636,84,50.08,47.1,50.49,14.34
414,Banyo,4,CM,1573067637,65,6.75,11.81,72.01,2.3
415,Santa Maria da Boa Vista,0,BR,1573067639,14,-8.8,-39.83,99.79,10.6
416,Oranjemund,0,ZA,1573067640,80,-28.55,16.43,59.65,13.22
417,Sungaipenuh,13,ID,1573067642,87,-2.08,101.38,59.99,1.99
418,Aquiraz,47,BR,1573067643,62,-3.9,-38.39,86.0,12.75
419,Pangnirtung,75,CA,1573067644,85,66.15,-65.72,21.2,2.24
420,Nioro,0,GM,1573067646,16,13.79,-15.05,98.71,4.29
421,Santo Tomas,90,PH,1573067647,83,7.53,125.62,78.8,5.01
422,Ponta Delgada,75,PT,1573067649,68,37.73,-25.67,64.4,8.05
423,Kupino,100,RU,1573067650,85,54.36,77.31,32.7,17.09
424,Asadabad,0,IR,1573067651,75,34.78,48.12,42.8,2.24
425,Shitkino,94,RU,1573067653,94,56.37,98.35,29.71,13.13
426,Xinzhi,75,TW,1573067654,73,22.54,120.62,73.4,3.36
427,Lubao,97,CD,1573067655,92,-5.39,25.75,72.03,1.16
428,Geraldton,90,CA,1573067656,67,49.72,-86.95,19.4,10.29
429,Monrovia,20,LR,1573067657,94,6.33,-10.8,78.8,9.53
430,Bindura,4,ZW,1573067658,29,-17.3,31.33,75.45,5.97
431,Havlickuv Brod,55,CZ,1573067660,87,49.61,15.58,46.99,6.93
432,Gornopravdinsk,100,RU,1573067661,96,60.06,69.92,37.74,12.82
433,Tuy Hoa,100,VN,1573067662,83,13.08,109.3,77.59,14.27
434,Cururupu,81,BR,1573067663,53,-1.82,-44.87,88.47,5.84
435,Mirnyy,100,RU,1573067664,92,56.57,36.46,39.52,8.59
436,Huilong,31,CN,1573067665,84,31.15,106.5,55.0,2.3
437,Opuwo,54,NA,1573067667,24,-18.06,13.84,82.94,5.08
438,Fort-Shevchenko,100,KZ,1573067668,47,44.51,50.26,46.72,7.87
439,Pyapon,97,MM,1573067669,91,16.29,95.68,76.5,4.54
440,Windhoek,65,NA,1573067435,38,-22.57,17.08,75.99,7.49
441,Ilulissat,75,GL,1573067671,68,69.22,-51.1,30.2,14.99
442,Mahajanga,40,MG,1573067672,74,-15.72,46.32,82.4,2.24
443,Puqi,83,CN,1573067674,69,29.72,113.88,56.5,1.57
444,Ciudad Bolivar,25,VE,1573067675,45,8.12,-63.55,92.61,8.59
445,Utete,100,TZ,1573067676,93,-7.99,38.76,73.62,1.05
446,Uchiza,54,PE,1573067677,47,-8.46,-76.46,85.41,1.88
447,Yatou,75,CM,1573067679,88,3.63,9.81,82.4,2.24
448,Burgeo,100,CA,1573067680,91,47.61,-57.61,49.01,29.44
449,Mandalgovi,0,MN,1573067681,53,45.76,106.27,28.42,8.57
450,Udachnyy,100,RU,1573067682,83,66.42,112.4,-13.01,4.47
451,Kirovskiy,90,RU,1573067684,56,45.09,133.51,26.71,7.16
452,Skowhegan,1,US,1573067685,33,44.77,-69.72,48.99,13.87
453,Ambunti,100,PG,1573067686,98,-4.22,142.82,73.26,0.43
454,Lahaina,40,US,1573067688,78,20.87,-156.68,78.8,12.75
455,Luena,100,AO,1573067689,85,-11.78,19.91,65.05,5.88
456,Wanning,75,AT,1573067690,100,48.64,13.53,45.0,2.24
457,Biu,8,NG,1573067692,33,10.61,12.19,81.68,1.39
458,Kalmunai,61,LK,1573067693,76,7.42,81.82,81.14,3.47
459,San Juan,0,AR,1573067694,15,-31.54,-68.53,89.78,8.63
460,Mahasamund,62,IN,1573067695,78,21.11,82.1,71.6,3.36
461,Sioux Lookout,90,CA,1573067696,61,50.1,-91.92,15.8,13.87
462,Dhankuta,0,NP,1573067698,91,26.98,87.34,55.11,4.34
463,Saint-Joseph,0,FR,1573067699,81,43.56,6.97,57.0,4.7
464,Victor Harbor,75,AU,1573067700,71,-35.55,138.62,57.2,19.46
465,Mokolo,1,CM,1573067701,33,10.74,13.8,81.99,1.5
466,Esmeralda,0,CL,1573067702,18,-34.33,-70.9,84.2,10.29
467,Bhindar,75,PK,1573067704,77,32.5,74.45,68.0,4.7
468,Cabo San Lucas,40,MX,1573067480,70,22.89,-109.91,86.0,4.7
469,Umm Lajj,0,SA,1573067706,47,25.02,37.27,78.98,2.24
470,Koslan,24,RU,1573067707,95,63.46,48.9,14.7,5.17
471,Ajdabiya,0,LY,1573067708,39,30.75,20.22,74.46,9.28
472,Pevek,100,RU,1573067709,81,69.7,170.27,23.31,3.71
473,Hambantota,90,LK,1573067711,100,6.12,81.12,78.8,4.7
474,Kerrville,90,US,1573067712,88,30.05,-99.14,78.01,13.87
475,Riyadh,89,SA,1573067545,29,24.63,46.72,77.0,5.82
476,Tsabong,77,BW,1573067714,31,-26.02,22.4,80.8,5.59
477,Dayong,5,CN,1573067715,68,25.02,118.29,66.2,4.47
478,Paita,6,PE,1573067717,100,-5.09,-81.11,62.6,13.87
479,Kidal,0,ML,1573067718,14,18.44,1.41,87.35,7.99
480,Deputatskiy,96,RU,1573067719,96,69.3,139.9,-3.34,3.11
481,Butterworth,75,MY,1573067720,100,5.4,100.37,75.2,3.36
482,Westport,1,US,1573067503,34,41.14,-73.36,55.99,8.05
483,Inhambane,20,MZ,1573067723,83,-23.87,35.38,77.0,13.87
484,Sambava,100,MG,1573067724,97,-14.27,50.17,70.65,2.71
485,Pinega,63,RU,1573067725,96,64.7,43.39,18.77,2.48
486,Rome,45,IT,1573067473,81,41.89,12.48,59.0,5.82
487,Thayetmyo,89,MM,1573067668,82,19.32,95.18,73.47,0.09
488,Payo,80,ID,1573067728,68,-3.75,103.64,66.96,5.08
489,Banjar,89,ID,1573067732,81,-7.37,108.54,73.74,1.63
490,Lazaro Cardenas,75,MX,1573067734,44,28.39,-105.62,75.2,12.75
491,Balgazyn,7,RU,1573067735,78,51.0,95.2,26.02,0.54
492,Saint-Ambroise,75,CA,1573067736,46,48.56,-71.32,33.01,21.92
493,Tautira,20,PF,1573067737,61,-17.73,-149.15,84.0,6.93
494,Jasper,1,US,1573067738,35,33.83,-87.28,75.0,10.29
495,Kieta,86,PG,1573067740,76,-6.22,155.63,80.38,4.0
496,College,90,US,1573067741,86,64.86,-147.8,26.6,3.36
497,Basco,1,US,1573067742,62,40.33,-91.2,59.0,9.17
498,Egvekinot,86,RU,1573067744,80,66.32,-179.17,11.03,8.5
499,Puntarenas,90,CR,1573067580,69,9.98,-84.84,73.4,17.22
500,Kayerkan,75,RU,1573067746,78,69.35,87.76,14.0,15.66
501,Apt,0,FR,1573067748,71,43.88,5.4,51.8,3.36
502,Alausi,75,EC,1573067749,49,-2.2,-78.83,68.0,20.8
503,Kamakwie,56,SL,1573067751,83,9.5,-12.24,81.03,1.43
504,Kiama,40,AU,1573067752,20,-34.67,150.86,70.0,19.46
505,Lavrentiya,11,RU,1573067753,81,65.58,-170.99,25.07,13.87
506,Lewiston,1,US,1573067755,31,44.1,-70.21,52.0,11.41
507,Qianan,17,CN,1573067756,51,44.99,124.06,24.53,8.79
508,Darnah,33,LY,1573067757,63,32.77,22.64,76.24,6.08
509,Ust-Kuyga,100,RU,1573067759,99,70.0,135.55,-6.58,1.05
510,Shimoda,0,JP,1573067760,91,34.7,138.93,46.99,11.07
511,Khani,0,GE,1573067761,81,41.96,42.96,50.0,3.36
512,Bilma,0,NE,1573067763,15,18.69,12.92,82.81,8.46
513,Zaragoza,20,SV,1573067764,46,13.59,-89.29,91.4,11.41
514,Burla,62,RU,1573067765,76,53.34,78.33,30.13,14.18
515,Kalianget,76,ID,1573067766,88,-7.35,109.91,68.7,1.68
516,Xuddur,99,SO,1573067768,81,4.12,43.89,75.42,7.38
517,Benito Juarez,75,CU,1573067769,62,22.29,-79.63,86.0,16.11
518,Salinopolis,11,BR,1573067770,77,-0.61,-47.36,81.97,15.5
519,Veraval,90,FR,1573067772,100,49.65,0.71,50.0,5.82
520,Axim,90,GH,1573067773,88,4.87,-2.24,78.39,4.76
521,Waddan,0,LY,1573067774,21,29.16,16.14,78.58,11.7
522,Corn Island,90,NI,1573067775,79,12.17,-83.04,82.8,17.72
523,Ahuimanu,75,US,1573067776,74,21.44,-157.84,81.0,13.87
524,Prenzlau,95,DE,1573067777,100,53.32,13.87,46.0,1.99
525,Pyu,70,MM,1573067779,92,18.48,96.43,73.06,2.75
526,Uberlandia,40,BR,1573067780,48,-18.92,-48.28,82.4,8.05
527,Henties Bay,0,NA,1573067781,81,-22.12,14.28,64.99,1.01
528,Necochea,0,AR,1573067782,28,-38.55,-58.74,87.01,15.01
529,Nouadhibou,25,MR,1573067783,46,20.93,-17.03,73.4,17.22
530,Antofagasta,20,CL,1573067785,63,-23.65,-70.4,64.4,13.87
531,Mimongo,84,GA,1573067786,96,-1.62,11.6,70.57,2.66
532,Zyryanovsk,99,KZ,1573067787,88,49.74,84.27,31.82,2.17
533,San Martin,1,US,1573067788,59,37.08,-121.61,71.01,2.08
534,Saint-Raymond,40,CA,1573067790,43,46.89,-71.84,39.0,10.29
535,Dzilam Gonzalez,99,MX,1573067791,66,21.28,-88.93,89.01,8.01
536,Caraballeda,75,VE,1573067792,58,10.61,-66.85,87.8,4.7
537,Urusha,21,RU,1573067793,83,54.05,122.9,-3.82,3.78
538,Fortuna,90,US,1573067794,100,40.6,-124.16,52.0,4.7
539,Mumford,45,GH,1573067796,89,5.26,-0.76,77.36,6.55
540,Bima,89,ID,1573067797,92,-8.45,118.73,72.09,2.98
541,Maraa,91,BR,1573067798,46,-1.83,-65.37,93.92,4.61
542,Haileybury,90,CA,1573067800,68,47.44,-79.64,28.4,16.11
543,Hokitika,100,NZ,1573067801,94,-42.72,170.96,56.71,21.07
544,Camopi,41,GF,1573067802,46,3.17,-52.33,91.29,4.59
545,Greenfield,1,US,1573067570,27,42.59,-72.6,53.01,17.22
546,Klaksvik,55,FO,1573067805,64,62.23,-6.59,32.0,3.36
547,Faya,0,SA,1573067806,82,18.39,42.45,66.2,10.94
548,Ngunguru,26,NZ,1573067808,95,-35.62,174.5,59.0,1.01
